,PktGroupId,PktNumber,Appearance,Direction,Type,Component,Edge,Filter,OriginalSize,LoggedSize
0,562949953421313,1,1,Rx,WiFi,3,1,0,107,107
1,562949953421313,1,2,Rx,WiFi,31,2,0,107,107
2,562949953421313,1,3,Rx,WiFi,31,1,0,107,107
3,562949953421313,1,4,Rx,WiFi,30,2,0,107,107
4,562949953421313,1,5,Rx,WiFi,30,1,0,107,107
5,562949953421313,1,6,Rx,WiFi,29,2,0,107,107
6,562949953421313,1,7,Rx,Ethernet,29,1,0,87,87
7,562949953421313,1,8,Rx,WiFi,28,2,0,87,87
8,562949953421313,1,9,Rx,Ethernet,28,1,0,87,87
9,562949953421313,1,10,Rx,Ethernet,77,1,0,87,87
10,562949953421313,1,11,Rx,Ethernet,78,1,0,87,87
11,562949953421313,1,12,Rx,Ethernet,81,1,0,87,87
12,1407374883553281,1,1,Tx,Ethernet,81,1,0,54,54
13,1407374883553281,1,2,Tx,Ethernet,28,1,0,54,54
14,1407374883553281,1,3,Tx,WiFi,28,2,0,54,54
15,1407374883553281,1,4,Tx,Ethernet,29,1,0,54,54
16,1407374883553281,1,5,Tx,WiFi,29,2,0,72,72
17,1407374883553281,1,6,Tx,WiFi,30,1,0,72,72
18,1407374883553281,1,7,Tx,WiFi,30,2,0,72,72
19,1407374883553281,1,8,Tx,WiFi,31,1,0,72,72
20,1407374883553281,1,9,Tx,WiFi,31,2,0,72,72
21,1407374883553281,1,10,Tx,WiFi,3,1,0,72,72
22,1407374883553282,1,1,Tx,Ethernet,81,1,0,54,54
23,1407374883553282,1,2,Tx,Ethernet,28,1,0,54,54
24,1407374883553282,1,3,Tx,WiFi,28,2,0,54,54
25,1407374883553282,1,4,Tx,Ethernet,29,1,0,54,54
26,1407374883553282,1,5,Tx,WiFi,29,2,0,72,72
27,1407374883553282,1,6,Tx,WiFi,30,1,0,72,72
28,1407374883553282,1,7,Tx,WiFi,30,2,0,72,72
29,1407374883553282,1,8,Tx,WiFi,31,1,0,72,72
30,1407374883553282,1,9,Tx,WiFi,31,2,0,72,72
31,1407374883553282,1,10,Tx,WiFi,3,1,0,72,72
32,1407374883553283,1,1,Tx,Ethernet,81,1,0,54,54
33,1407374883553283,1,2,Tx,Ethernet,28,1,0,54,54
34,1407374883553283,1,3,Tx,WiFi,28,2,0,54,54
35,1407374883553283,1,4,Tx,Ethernet,29,1,0,54,54
36,1407374883553283,1,5,Tx,WiFi,29,2,0,72,72
37,1407374883553283,1,6,Tx,WiFi,30,1,0,72,72
38,1407374883553283,1,7,Tx,WiFi,30,2,0,72,72
39,1407374883553283,1,8,Tx,WiFi,31,1,0,72,72
